userID,albumID,artist,title,rating,plays
1,MW0002526478,Majical Cloudz,Impersonator,3.5,8
1,MW0002107398,Marc Broussard,Marc Broussard,3.5,8
1,MW0002006588,Menomena,Mines,3.5,6
1,MW0002166373,Milagres,Glowing Mouth,3.5,7
1,MW0002356679,Milo Greene,Milo Greene,3.5,7
1,MW0002346806,Moon Taxi,Cabaret,3.5,7
1,MW0002212638,MUTEMATH,Odd Soul,3.5,9
1,MW0002057761,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,3.5,6
1,MW0002135929,My Morning Jacket,Circuital,3.5,8
1,MW0002417171,Ne-Yo,R.E.D.,3.5,8
1,,New Young Pony Club,New Young Pony Club,3.5,6
1,MW0002463588,Night Beds,Country Sleep,3.5,6
1,MW0002352884,Niki and the Dove,Instinct,3.5,7
1,MW0002484790,OneRepublic,Native,3.5,9
1,MW0002424876,Other Lives,Mind the Gap,3.5,6
1,MW0002479086,Paramore,Paramore,3.5,11
1,MW0002330018,Passenger,All the Little Lights,3.5,5
1,MW0002282392,Perfume Genius,Put Your Back N 2 It,3.5,7
1,,Phoria,Bloodworks,3.5,6
1,MW0002487697,Phosphorescent,Muchacho,3.5,7
1,,PHOX,CONFETTI,3.5,6
1,MW0001989639,Plan B,The Defamation of Strickland Banks,3.5,6
1,,Purity Ring,Shrines,3.5,6
1,MW0002114074,Radiohead,The King of Limbs,3.5,18
1,,"Reznor, Trent & Atticus Ross",The Social Network,3.5,1
1,MW0002484780,Rhye,Woman,3.5,9
1,MW0002049029,Rihanna,Loud,3.5,6
1,MW0002241043,Rihanna,Talk That Talk,3.5,6
1,MW0002439379,Rihanna,Unapologetic,3.5,10
1,MW0002095214,Saigon,The Greatest Story Never Told,3.5,9
1,MW0002378792,Sara Bareilles,Once Upon Another Time,3.5,9
1,MW0002102148,Seryn,This is Where We Are,3.5,9
1,MW0002033869,Sharon Van Etten,Epic,3.5,5
1,MW0001955809,Shearwater,The Golden Archipelago,3.5,8
1,MW0002525327,Sigur Ros,Kveikur,3.5,8
1,MW0001997150,Sleigh Bells,Treats,3.5,8
1,MW0002506639,Small Black,Limits of Desire,3.5,8
1,MW0002418731,Social Studies,Developer,3.5,6
1,MW0002582261,Son Lux,Lanterns,3.5,7
1,MW0002558478,Sons of the Sea,Compass,3.5,6
1,MW0002563627,Sons of the Sea,Sons of the Sea,3.5,6
1,MW0002474249,STRFKR,Miracle Mile,3.5,7
1,MW0002541126,Superhumanoids,Exhibitionists,3.5,6
1,,Switchfoot,Eastern Hymns For Western Shores,3.5,6
1,MW0002052709,Switchfoot,iTunes Sessions,3.5,1
1,MW0002174000,Switchfoot,Vice Verses,3.5,10
1,MW0002025410,Taylor Swift,Speak Now,3.5,8
1,MW0002255703,Team Me,To the Treetops!,3.5,5
1,MW0002459398,Tegan and Sara,Heartthrob,3.5,7
1,,The 1975,The 1975,3.5,9
1,MW0002122128,The Antlers,Burst Apart,3.5,11
1,MW0002110738,The Apache Relay,American Nomad,3.5,6
1,MW0002137765,The Dear Hunter,The Color Spectrum,3.5,7
1,,The Dig,Midnight Flowers,3.5,5
1,MW0002410440,The Lighthouse and the Whaler,This is an Adventure,3.5,6
1,MW0002301160,The Mars Volta,Noctourniquet,3.5,10
1,MW0002278411,The Milk Carton Kids,Prologue,3.5,6
1,MW0002505187,The Neighbourhood,I Love You,3.5,9
1,MW0000820054,The Roots,How I Got Over,3.5,4
1,MW0002389285,The Royal Concept,The Royal Concept,3.5,0
1,MW0002560042,The Weeknd,Kiss Land,3.5,10
1,MW0002112155,TV on the Radio,Nine Types of Light,3.5,7
1,MW0002445528,Unknown Mortal Orchestra,II,3.5,6
1,,Various Artists,Drive |Original Motion Picture Soundtrack|,3.5,3
1,MW0002560310,Volcano Choir,Repave,3.5,9
