Artist,Album,Genre,Plays,Rating
Delta Spirit,History From Below,Alternative : Folk-Rock,7,
Delta Spirit,History From Below,Alternative : Folk-Rock,6,
Drake,Thank Me Later,Hip-Hop : Rap,4,3.5
Drake,Thank Me Later,Hip-Hop : Rap,5,
Drake,Thank Me Later,Hip-Hop : Rap,4,
Drake,Thank Me Later,Hip-Hop : Rap,7,
Drake,Thank Me Later,Hip-Hop : Rap,5,
Drake,Thank Me Later,Hip-Hop : Rap,5,
Drake,Thank Me Later,Hip-Hop : Rap,11,
Drake,Thank Me Later,Hip-Hop : Rap,4,
Drake,Thank Me Later,Hip-Hop : Rap,4,
Drake,Thank Me Later,Hip-Hop : Rap,5,
Drake,Thank Me Later,Hip-Hop : Rap,14,
Drake,Thank Me Later,Hip-Hop : Rap,4,
Drake,Thank Me Later,Hip-Hop : Rap,10,
Drake,Thank Me Later,Hip-Hop : Rap,5,
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,3,2.5
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,4,
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,3,
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,3,
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,4,
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,4,
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,3,
Omar Rodriguez-Lopez,Ciencia De Los Inutiles,Rock : Neo-Psychedelia,4,
Emarosa,Emarosa,Rock : Post-Hardcore,7,3
Emarosa,Emarosa,Rock : Post-Hardcore,6,
Emarosa,Emarosa,Rock : Post-Hardcore,6,
Emarosa,Emarosa,Rock : Post-Hardcore,6,
Emarosa,Emarosa,Rock : Post-Hardcore,7,
Emarosa,Emarosa,Rock : Post-Hardcore,8,
Emarosa,Emarosa,Rock : Post-Hardcore,6,
Emarosa,Emarosa,Rock : Post-Hardcore,6,
Emarosa,Emarosa,Rock : Post-Hardcore,7,
Emarosa,Emarosa,Rock : Post-Hardcore,6,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,2,1.5
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,2,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,2,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,2,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,1,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,1,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,1,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,,
Emeralds,Does It Look Like I'm Here?,Electronic : Experimental,,
Eminem,Recovery,Hip-Hop : Hardcore Rap,8,3
Eminem,Recovery,Hip-Hop : Hardcore Rap,8,
Eminem,Recovery,Hip-Hop : Hardcore Rap,6,
Eminem,Recovery,Hip-Hop : Hardcore Rap,6,
Eminem,Recovery,Hip-Hop : Hardcore Rap,12,
Eminem,Recovery,Hip-Hop : Hardcore Rap,6,
Eminem,Recovery,Hip-Hop : Hardcore Rap,10,
Eminem,Recovery,Hip-Hop : Hardcore Rap,8,
Eminem,Recovery,Hip-Hop : Hardcore Rap,14,
Eminem,Recovery,Hip-Hop : Hardcore Rap,9,
Eminem,Recovery,Hip-Hop : Hardcore Rap,6,
Eminem,Recovery,Hip-Hop : Hardcore Rap,8,
Eminem,Recovery,Hip-Hop : Hardcore Rap,6,
Eminem,Recovery,Hip-Hop : Hardcore Rap,7,
Eminem,Recovery,Hip-Hop : Hardcore Rap,10,
Eminem,Recovery,Hip-Hop : Hardcore Rap,8,
Eminem,Recovery,Hip-Hop : Hardcore Rap,6,
